temps;Angle Pivot
0011.257; 00040
0011.273; 00060
0011.289; 00060
0011.319; 00020
0011.335; 00060
0011.351; 00020
0011.366; 00040
0011.382; 00020
0011.412; 00020
0011.444; 00020
0011.460; 00040
0011.474; 00040
0011.490; 00040
0011.506; 00040
0011.537; 00040
0011.553; 00040
0011.569; 00040
0011.585; 00020
0011.599; 00040
0011.615; 00060
0011.646; 00040
0011.662; 00020
0011.678; 00060
0011.694; 00040
0011.708; 00040
0011.724; 00020
0011.740; 00060
0011.754; 00040
0011.770; 00020
0011.786; 00040
0011.802; 00020
0011.818; 00060
0011.833; 00040
0011.849; 00020
0011.863; 00020
0011.879; 00020
0011.895; 00040
0011.911; 00040
0011.927; 00020
0011.942; 00020
0011.958; 00020
0011.974; 00040
0011.988; 00020
0012.004; 00040
0012.020; 00040
0012.036; 00020
0012.052; 00040
0012.066; 00040
0012.082; 00040
0012.097; 00060
0012.113; 00040
0012.129; 00040
0012.145; 00040
0012.161; 00060
0012.175; 00040
0012.191; 00040
0012.207; 00040
0012.222; 00040
0012.238; 00040
0012.254; 00040
0012.270; 00040
0012.286; 00060
0012.300; 00020
0012.316; 00040
0012.330; 00040
0012.348; 00060
0012.362; 00060
0012.378; 00040
0012.394; 00020
0012.410; 00020
0012.425; 00020
0012.441; 00040
0012.455; 00040
0012.473; 00040
0012.487; 00020
0012.503; 00060
0012.519; 00040
0012.534; 00040
0012.550; 00020
0012.566; 00040
0012.580; 00040
0012.598; 00040
0012.612; 00040
0012.628; 00040
0012.642; 00040
0012.658; 00040
0012.674; 00020
0012.689; 00020
0012.705; 00040
0012.721; 00020
0012.737; 00020
0012.753; 00020
0012.767; 00040
0012.783; 00040
0012.798; 00020
0012.814; 00040
0012.830; 00020
0012.846; 00040
0012.862; 00040
0012.878; 00020
0012.892; 00040
0012.908; 00020
0012.922; 00040
0012.940; 00020
0012.954; 00020
0012.970; 00040
0012.986; 00040
0013.001; 00040
0013.017; 00020
0013.033; 00040
0013.047; 00020
0013.063; 00040
0013.079; 00000
0013.095; 00020
0013.110; 00040
0013.127; 00020
0013.142; 00040
0013.156; 00040
0013.172; 00040
0013.188; 00040
0013.204; 00040
0013.220; 00060
0013.234; 00040
0013.250; 00020
0013.265; 00020
0013.281; 00040
0013.297; 00040
0013.313; 00040
0013.329; 00020
0013.345; 00040
0013.359; 00040
0013.375; 00040
0013.390; 00040
0013.407; 00040
0013.422; 00020
0013.438; 00040
0013.454; 00060
0013.468; 00040
0013.484; 00020
0013.500; 00020
0013.514; 00040
0013.530; 00060
0013.546; 00000
0013.562; 00040
0013.577; 00020
0013.594; 00020
0013.609; 00040
0013.623; 00020
0013.639; 00040
0013.655; 00040
0013.671; 00040
0013.687; 00060
0013.702; 00040
0013.718; 00060
0013.732; 00040
0013.748; 00040
0013.764; 00040
0013.780; 00060
0013.796; 00040
0013.812; 00020
0013.826; 00040
0013.857; 00060
0013.873; 00060
0013.889; 00020
0013.905; 00020
0013.921; 00040
0013.935; 00020
0013.951; 00020
0013.967; 00040
0013.982; 00040
0013.999; 00040
0014.014; 00020
0014.030; 00040
0014.044; 00040
0014.060; 00000
0014.076; 00040
0014.090; 00020
0014.106; 00040
0014.122; 00020
0014.138; 00040
0014.154; 00040
0014.169; 00040
0014.185; 00020
0014.199; 00060
0014.217; 00060
0014.231; 00040
0014.262; 00060
0014.292; 00040
0014.310; 00040
0014.324; 00020
0014.342; 00020
0014.356; 00040
0014.386; 00040
0014.402; 00000
0014.418; 00060
0014.434; 00020
0014.449; 00040
0014.466; 00060
0014.495; 00020
0014.511; 00020
0014.527; 00020
0014.543; 00060
0014.562; 00060
0014.574; 00020
0014.590; 00060
0014.620; 00060
0014.636; 00020
0014.652; 00040
0014.666; 00020
0014.682; 00000
0014.698; 00040
0014.713; 00040
0014.729; 00060
0014.745; 00040
0014.761; 00040
0014.777; 00040
0014.791; 00040
0014.809; 00060
0014.838; 00040
0014.854; 00040
0014.870; 00040
0014.886; 00040
0014.902; 00040
0019.289;00631
0019.309;00631
0019.323;00631
0019.338;00631
0019.354;00631
0019.370;00631
0019.385;00631
0019.401;00631
0019.430;00631
0019.447;00631
0019.464;00631
0019.479;00630
0019.495;00631
0019.510;00630
0019.526;00631
0019.541;00631
0019.558;00631
0019.571;00631
0019.588;00630
0019.602;00630
0019.620;00631
0019.636;00630
0019.651;00631
0019.667;00631
0019.683;00631
0019.697;00632
0019.712;00631
0019.728;00630
0019.744;00631
0019.760;00631
0019.775;00631
0019.790;00631
0019.806;00632
0019.821;00631
0019.839;00632
0019.853;00631
