temps;Consigne tangage PC;Effort milli N;;temps;Consigne tangage PC;Effort milli N
3,435;51;441;;7,48;30;481
3,445;51;441;;7,497;30;490
3,454;51;441;;7,507;30;490
3,475;51;451;;7,518;30;481
3,488;51;441;;7,529;30;481
3,497;51;441;;7,539;30;481
3,509;51;451;;7,55;30;481
3,516;51;441;;7,559;30;490
3,524;51;441;;7,569;30;481
3,535;51;441;;7,58;30;471
3,544;51;441;;7,589;30;481
3,554;51;441;;7,599;30;471
3,565;51;441;;7,61;30;461
3,576;51;441;;7,618;30;471
3,584;51;432;;7,629;30;471
3,593;51;441;;7,64;30;471
3,603;51;441;;7,648;30;471
3,614;51;441;;7,661;30;481
3,625;51;441;;7,67;30;481
3,635;51;451;;7,68;30;481
3,644;51;441;;7,689;30;481
3,655;51;432;;7,697;30;481
3,665;51;441;;7,708;30;481
3,674;51;441;;7,719;30;481
3,684;51;432;;7,729;30;481
3,695;51;432;;7,74;30;481
3,704;51;432;;7,749;30;481
3,714;51;432;;7,759;30;481
3,723;51;432;;7,77;30;481
3,733;51;432;;7,778;30;481
3,744;51;432;;7,789;30;481
3,753;51;432;;7,798;30;481
3,765;51;432;;7,81;30;471
3,774;51;432;;7,827;30;481
3,783;51;432;;7,838;30;471
3,793;51;441;;7,849;30;481
3,804;51;441;;7,857;30;481
3,812;51;432;;7,868;30;481
3,823;51;441;;7,879;30;481
3,834;51;432;;7,889;30;471
3,844;51;432;;7,9;30;481
3,855;51;432;;7,911;30;481
3,864;51;441;;7,919;30;471
3,874;51;441;;7,928;30;471
3,883;51;432;;7,938;30;490
3,893;51;432;;7,949;30;490
3,904;51;441;;7,966;30;490
3,913;51;432;;7,977;30;481
3,923;51;432;;7,99;30;490
3,934;51;432;;7,998;30;481
3,943;51;432;;8,009;30;481
3,953;51;432;;8,019;30;490
3,966;51;432;;8,03;30;500
3,975;51;432;;8,039;30;500
3,985;51;432;;8,049;30;500
3,996;51;432;;8,058;30;500
4,002;51;441;;8,069;30;500
4,015;51;441;;8,079;30;490
4,024;51;432;;8,09;30;481
4,032;51;432;;8,107;30;490
4,045;51;432;;8,118;30;481
4,053;51;422;;8,128;30;490
4,064;51;422;;8,139;30;490
4,073;51;432;;8,147;30;481
4,083;51;422;;8,16;30;490
4,103;51;422;;8,167;30;490
4,113;51;432;;8,177;30;481
4,132;51;432;;8,19;30;490
4,143;51;432;;8,199;30;490
4,154;51;432;;8,216;30;490
4,162;51;432;;8,226;30;481
4,173;51;432;;8,237;30;481
4,184;51;432;;8,25;30;471
4,194;51;432;;8,256;30;481
4,203;51;432;;8,269;30;481
4,213;51;441;;8,278;30;471
4,222;51;432;;8,288;30;481
4,241;51;441;;8,297;30;490
4,252;51;432;;8,307;30;490
4,263;51;441;;8,318;30;490
4,273;51;432;;8,329;30;490
4,284;51;432;;8,337;30;490
4,292;51;432;;8,348;30;481
4,303;51;432;;8,357;30;481
4,312;51;432;;8,367;30;490
4,322;51;432;;8,38;30;490
4,333;51;441;;8,389;30;490
4,352;51;432;;8,397;30;490
4,363;51;432;;8,41;30;490
4,374;51;432;;8,416;30;490
4,384;51;432;;8,427;30;490
4,393;51;422;;8,438;30;481
4,403;51;422;;8,448;30;481
4,412;51;432;;8,459;30;490
4,423;51;432;;8,467;30;500
4,433;51;432;;8,476;30;490
4,442;51;441;;8,489;30;490
4,461;51;432;;8,499;30;500
4,474;51;432;;8,508;30;500
4,482;51;432;;8,519;30;490
4,495;51;432;;8,527;30;500
4,504;51;432;;8,546;30;510
4,514;51;432;;8,557;30;500
4,523;51;432;;8,568;30;500
4,531;51;432;;8,576;30;510
4,542;51;441;;8,587;30;500
4,553;51;441;;8,598;30;490
4,563;51;432;;8,606;30;490
4,572;51;432;;8,617;30;500
4,583;51;432;;8,63;30;500
4,595;51;441;;8,636;30;500
4,61;51;432;;8,647;30;490
4,627;51;422;;8,657;30;490
4,632;51;432;;8,666;30;490
4,642;51;432;;8,677;30;490
4,653;51;432;;8,687;30;490
4,664;51;432;;8,698;30;500
4,672;51;432;;8,709;30;500
4,683;51;441;;8,717;30;490
4,691;51;432;;8,726;30;500
4,711;51;432;;8,736;30;500
4,721;51;432;;8,747;30;500
4,732;51;422;;8,766;30;500
4,743;51;422;;8,779;30;510
4,76;51;422;;8,787;30;510
4,777;51;432;;8,798;30;510
4,783;51;422;;8,807;30;500
4,794;51;422;;8,817;30;510
4,802;51;422;;8,826;30;510
4,813;51;422;;8,839;30;510
4,822;51;432;;8,847;30;500
